event_id,member_id,event_datetime,event_type,platform,session_duration_seconds,notification_engagement,event_day_of_week,event_hour,is_session_duration_outlier
APP-062447,MBR-001606,2025-01-22 22:37:19,Badge Earned,Android,39,Not Applicable,Wednesday,22,False
APP-091045,MBR-003383,2023-06-03 17:05:13,Streak Viewed,iOS,20,Not Applicable,Saturday,17,False
APP-005819,MBR-006727,2024-10-01 19:54:38,Workout Logged Manually,iOS,50,Not Applicable,Tuesday,19,False
APP-064614,MBR-010029,2025-05-14 06:44:44,Reminder Snoozed,iOS,15,Opened,Wednesday,6,False
APP-055636,MBR-002377,2025-01-26 07:22:51,Referral Sent,Android,25,Not Applicable,Sunday,7,False
APP-078516,MBR-007275,2023-05-26 19:25:26,App Opened–No Action,iOS,6,Not Applicable,Friday,19,False
APP-054329,MBR-001073,2025-05-07 01:38:34,App Opened–No Action,Android,18,Not Applicable,Wednesday,1,False
APP-013902,MBR-008991,2025-04-11 05:46:09,Workout Logged Manually,iOS,83,Not Applicable,Friday,5,False
APP-039921,MBR-005215,2025-09-28 10:35:54,Reminder Snoozed,Android,5,Opened,Sunday,10,False
APP-027036,MBR-009791,2024-03-20 22:13:48,Push Notification Opened,iOS,10,Dismissed,Wednesday,22,False
APP-029749,MBR-011911,2025-03-30 01:03:26,App Opened–No Action,Android,13,Not Applicable,Sunday,1,False
APP-070279,MBR-001628,2024-04-24 12:07:34,Push Notification Opened,Android,8,Ignored,Wednesday,12,False
APP-071201,MBR-014163,2025-02-10 19:11:31,App Opened–No Action,Android,9,Not Applicable,Monday,19,False
APP-048758,MBR-007717,2025-09-26 05:32:45,Reminder Snoozed,Android,6,Ignored,Friday,5,False
APP-035669,MBR-016749,2024-04-13 23:01:02,Reminder Snoozed,iOS,5,Ignored,Saturday,23,False
APP-048083,MBR-009850,2022-05-09 15:50:59,Badge Earned,Android,47,Not Applicable,Monday,15,False
APP-025481,MBR-007817,2025-10-02 08:39:30,Streak Viewed,Android,40,Not Applicable,Thursday,8,False
APP-027949,MBR-003516,2022-03-06 14:17:48,App Opened–No Action,iOS,16,Not Applicable,Sunday,14,False
APP-037449,MBR-000912,2024-05-26 09:23:05,Streak Viewed,Android,31,Not Applicable,Sunday,9,False
APP-065294,MBR-014998,2025-04-25 07:55:18,Diet Log Entry,Android,60,Not Applicable,Friday,7,False
APP-062739,MBR-002758,2024-03-10 19:16:39,Reminder Snoozed,iOS,5,Opened,Sunday,19,False
APP-046070,MBR-006329,2023-09-07 09:27:48,Push Notification Opened,Android,9,Not Applicable,Thursday,9,False
APP-088583,MBR-010789,2022-01-31 17:11:47,Workout Logged Manually,Android,36,Not Applicable,Monday,17,False
APP-093225,MBR-014875,2024-01-07 17:14:47,Reminder Snoozed,Android,6,Ignored,Sunday,17,False
APP-081486,MBR-015398,2024-04-11 09:15:11,Community/WhatsApp-style Group Post,Android,123,Not Applicable,Thursday,9,False
APP-036138,MBR-004905,2023-02-07 20:15:19,Community/WhatsApp-style Group Post,Android,155,Not Applicable,Tuesday,20,False
APP-022276,MBR-004157,2024-05-23 07:04:15,Badge Earned,Android,27,Not Applicable,Thursday,7,False
APP-089272,MBR-013086,2024-04-12 08:20:56,Reminder Snoozed,Android,14,Opened,Friday,8,False
APP-060355,MBR-015794,2024-06-15 20:04:38,Workout Logged Manually,Android,26,Not Applicable,Saturday,20,False
APP-024238,MBR-009454,2025-03-12 18:12:41,Community/WhatsApp-style Group Post,Android,57,Not Applicable,Wednesday,18,False
APP-076992,MBR-007923,2025-01-07 08:06:38,Streak Viewed,iOS,29,Not Applicable,Tuesday,8,False
APP-082782,MBR-012699,2025-01-20 19:38:15,Diet Log Entry,Android,58,Not Applicable,Monday,19,False
APP-084749,MBR-005736,2025-01-07 11:37:58,Diet Log Entry,Android,249,Not Applicable,Tuesday,11,True
APP-095844,MBR-011781,2022-03-08 15:13:04,Workout Logged Manually,iOS,61,Not Applicable,Tuesday,15,False
APP-077240,MBR-014955,2023-06-07 07:45:09,Badge Earned,Android,43,Not Applicable,Wednesday,7,False
APP-061784,MBR-005976,2023-06-01 20:17:44,Reminder Snoozed,Android,10,Dismissed,Thursday,20,False
APP-037364,MBR-009287,2025-07-12 18:41:08,Reminder Snoozed,Android,8,Opened,Saturday,18,False
APP-089746,MBR-006471,2024-02-04 08:40:56,Workout Logged Manually,Android,54,Not Applicable,Sunday,8,False
APP-083914,MBR-016521,2024-06-04 06:37:03,Streak Viewed,iOS,45,Not Applicable,Tuesday,6,False
APP-034836,MBR-013701,2025-07-30 04:41:15,Badge Earned,Android,44,Not Applicable,Wednesday,4,False
APP-030999,MBR-014555,2025-10-04 18:26:08,Community/WhatsApp-style Group Post,Android,84,Not Applicable,Saturday,18,False
APP-031602,MBR-000921,2023-06-14 06:32:40,Streak Viewed,Android,37,Not Applicable,Wednesday,6,False
APP-005848,MBR-014790,2023-03-19 09:33:02,Workout Logged Manually,Android,104,Not Applicable,Sunday,9,False
APP-067046,MBR-009174,2025-04-21 20:47:49,Push Notification Opened,Android,6,Ignored,Monday,20,False
APP-058562,MBR-013752,2023-12-22 19:03:06,Streak Viewed,Android,24,Not Applicable,Friday,19,False
APP-040447,MBR-006877,2022-12-29 19:40:52,Push Notification Opened,Android,9,Ignored,Thursday,19,False
APP-058984,MBR-011226,2024-12-30 06:36:05,Push Notification Opened,Android,7,Opened,Monday,6,False
APP-082374,MBR-003820,2023-04-11 19:49:54,Badge Earned,Android,45,Not Applicable,Tuesday,19,False
APP-067949,MBR-010095,2024-09-25 07:57:50,Workout Logged Manually,iOS,77,Not Applicable,Wednesday,7,False
APP-047165,MBR-002429,2024-12-12 12:04:18,Streak Viewed,iOS,19,Not Applicable,Thursday,12,False
APP-015761,MBR-008457,2024-08-10 08:00:14,Workout Logged Manually,Android,504,Not Applicable,Saturday,8,True
APP-004577,MBR-016476,2024-04-25 13:33:27,Workout Logged Manually,iOS,35,Not Applicable,Thursday,13,False
APP-091877,MBR-011799,2022-04-08 19:49:03,Streak Viewed,Android,26,Not Applicable,Friday,19,False
APP-061628,MBR-003492,2025-05-23 14:28:50,Badge Earned,iOS,47,Not Applicable,Friday,14,False
APP-086772,MBR-015379,2022-11-05 06:39:16,Streak Viewed,Android,27,Not Applicable,Saturday,6,False
APP-095655,MBR-000683,2023-08-07 14:47:26,Push Notification Opened,Android,16,Not Applicable,Monday,14,False
APP-025180,MBR-007313,2024-09-19 20:22:14,Reminder Snoozed,Android,4,Opened,Thursday,20,False
APP-015703,MBR-005243,2022-05-01 05:19:24,App Opened–No Action,Android,7,Not Applicable,Sunday,5,False
APP-037545,MBR-011438,2025-10-02 20:52:29,Workout Logged Manually,iOS,73,Not Applicable,Thursday,20,False
APP-068855,MBR-008994,2024-01-26 12:03:55,Workout Logged Manually,iOS,41,Not Applicable,Friday,12,False
APP-075442,MBR-011909,2024-04-23 23:21:08,Streak Viewed,Android,40,Not Applicable,Tuesday,23,False
APP-034110,MBR-002272,2023-12-07 21:27:42,Streak Viewed,Android,104,Not Applicable,Thursday,21,False
APP-079136,MBR-001348,2022-07-15 05:03:49,Badge Earned,Android,14,Not Applicable,Friday,5,False
APP-014056,MBR-006695,2024-04-15 19:00:01,Workout Logged Manually,Android,27,Not Applicable,Monday,19,False
APP-016749,MBR-008446,2023-05-15 05:28:20,Community/WhatsApp-style Group Post,Android,39,Not Applicable,Monday,5,False
APP-014595,MBR-000640,2025-04-16 08:29:44,Push Notification Opened,Android,18,Opened,Wednesday,8,False
APP-023091,MBR-009959,2025-01-09 20:29:45,Workout Logged Manually,Android,47,Not Applicable,Thursday,20,False
APP-055313,MBR-003561,2023-06-28 07:10:31,Reminder Snoozed,Android,20,Dismissed,Wednesday,7,False
APP-097414,MBR-007866,2025-07-15 10:58:41,Push Notification Opened,iOS,4,Opened,Tuesday,10,False
APP-002198,MBR-009046,2022-11-23 09:05:38,Reminder Snoozed,iOS,21,Ignored,Wednesday,9,False
APP-070948,MBR-015414,2025-01-30 10:51:11,App Opened–No Action,iOS,7,Not Applicable,Thursday,10,False
APP-082881,MBR-003883,2025-03-24 05:24:17,Badge Earned,Android,34,Not Applicable,Monday,5,False
APP-072265,MBR-014287,2025-06-27 19:06:22,Streak Viewed,Android,121,Not Applicable,Friday,19,False
APP-090541,MBR-016342,2025-10-02 08:37:58,Community/WhatsApp-style Group Post,Android,122,Not Applicable,Thursday,8,False
APP-012085,MBR-013101,2025-01-15 00:02:40,Referral Sent,Android,13,Not Applicable,Wednesday,0,False
APP-004298,MBR-005368,2023-05-21 17:36:59,Workout Logged Manually,Android,90,Not Applicable,Sunday,17,False
APP-080590,MBR-003181,2022-01-26 08:04:35,Community/WhatsApp-style Group Post,Android,52,Not Applicable,Wednesday,8,False
APP-058781,MBR-007452,2024-09-21 06:15:48,Diet Log Entry,Android,68,Not Applicable,Saturday,6,False
APP-081081,MBR-005962,2024-03-14 20:40:39,App Opened–No Action,Android,7,Not Applicable,Thursday,20,False
APP-037002,MBR-008158,2023-03-22 09:44:10,Reminder Snoozed,Android,9,Opened,Wednesday,9,False
APP-023486,MBR-013465,2025-04-20 20:14:01,Push Notification Opened,Android,12,Dismissed,Sunday,20,False
APP-032353,MBR-001548,2023-01-12 15:56:35,Workout Logged Manually,Android,83,Not Applicable,Thursday,15,False
APP-014849,MBR-009703,2024-04-21 00:50:13,Workout Logged Manually,iOS,61,Not Applicable,Sunday,0,False
APP-045909,MBR-013739,2022-01-31 10:02:22,Workout Logged Manually,Android,47,Not Applicable,Monday,10,False
APP-040604,MBR-001302,2022-01-22 10:09:30,Streak Viewed,iOS,32,Not Applicable,Saturday,10,False
APP-059265,MBR-000464,2025-09-10 20:27:00,Diet Log Entry,Android,159,Not Applicable,Wednesday,20,False
APP-067916,MBR-017500,2025-05-30 14:45:41,Reminder Snoozed,iOS,8,Opened,Friday,14,False
APP-012552,MBR-000904,2023-12-21 22:32:26,Workout Logged Manually,Android,991,Not Applicable,Thursday,22,True
APP-040395,MBR-002772,2025-10-03 21:41:08,Workout Logged Manually,iOS,99,Not Applicable,Friday,21,False
APP-063610,MBR-014244,2022-11-09 19:08:38,Workout Logged Manually,iOS,21,Not Applicable,Wednesday,19,False
APP-051406,MBR-000937,2024-07-24 21:50:57,Badge Earned,iOS,38,Not Applicable,Wednesday,21,False
APP-077478,MBR-010207,2025-06-16 08:20:56,App Opened–No Action,Android,9,Not Applicable,Monday,8,False
APP-002272,MBR-014071,2023-05-03 20:46:30,Push Notification Opened,iOS,7,Ignored,Wednesday,20,False
APP-094694,MBR-002827,2023-03-28 07:46:13,Push Notification Opened,Android,13,Ignored,Tuesday,7,False
APP-042176,MBR-012563,2025-02-26 09:35:41,Referral Sent,Android,12,Not Applicable,Wednesday,9,False
APP-021138,MBR-001112,2024-08-12 22:20:04,Push Notification Opened,iOS,10,Ignored,Monday,22,False
APP-037816,MBR-015548,2023-01-19 15:12:22,Community/WhatsApp-style Group Post,Android,67,Not Applicable,Thursday,15,False
APP-086492,MBR-003974,2024-01-05 23:43:04,Workout Logged Manually,Android,145,Not Applicable,Friday,23,False
APP-012346,MBR-011124,2025-01-08 10:15:59,Push Notification Opened,iOS,12,Ignored,Wednesday,10,False
APP-077960,MBR-008489,2024-05-19 18:55:59,App Opened–No Action,iOS,5,Not Applicable,Sunday,18,False
APP-011239,MBR-005825,2024-12-29 18:40:18,Streak Viewed,iOS,31,Not Applicable,Sunday,18,False
APP-016629,MBR-004783,2024-05-11 21:33:10,Streak Viewed,Android,24,Not Applicable,Saturday,21,False
APP-069316,MBR-016729,2024-02-02 19:24:56,Badge Earned,iOS,32,Not Applicable,Friday,19,False
APP-077358,MBR-009407,2025-10-04 17:37:25,App Opened–No Action,Android,5,Not Applicable,Saturday,17,False
APP-029253,MBR-017123,2025-05-26 04:51:24,Community/WhatsApp-style Group Post,Android,114,Not Applicable,Monday,4,False
APP-021694,MBR-004871,2025-10-02 17:49:37,Streak Viewed,Android,59,Not Applicable,Thursday,17,False
APP-033679,MBR-008860,2025-01-10 12:10:01,Streak Viewed,Android,64,Not Applicable,Friday,12,False
APP-057339,MBR-009952,2024-09-19 18:26:48,Streak Viewed,Android,55,Not Applicable,Thursday,18,False
APP-090282,MBR-005863,2024-02-02 18:53:06,Streak Viewed,iOS,42,Not Applicable,Friday,18,False
APP-055785,MBR-010909,2024-02-10 14:36:18,Referral Sent,iOS,13,Not Applicable,Saturday,14,False
APP-049220,MBR-005143,2023-12-15 19:51:51,Badge Earned,Android,39,Not Applicable,Friday,19,False
APP-014069,MBR-003614,2023-10-17 05:13:36,App Opened–No Action,iOS,10,Not Applicable,Tuesday,5,False
APP-073001,MBR-003662,2025-03-07 00:22:24,Reminder Snoozed,Android,11,Not Applicable,Friday,0,False
APP-019286,MBR-000126,2024-11-12 10:15:12,Reminder Snoozed,iOS,6,Ignored,Tuesday,10,False
APP-023912,MBR-014321,2021-04-24 05:33:36,Workout Logged Manually,iOS,27,Not Applicable,Saturday,5,False
APP-065923,MBR-007407,2022-07-09 06:53:23,Workout Logged Manually,Android,42,Not Applicable,Saturday,6,False
APP-046224,MBR-004059,2024-12-31 15:15:15,Streak Viewed,Android,28,Not Applicable,Tuesday,15,False
APP-047072,MBR-001758,2023-11-27 18:34:29,Streak Viewed,Android,21,Not Applicable,Monday,18,False
APP-054811,MBR-012294,2024-06-03 17:10:38,Workout Logged Manually,iOS,69,Not Applicable,Monday,17,False
APP-042543,MBR-008674,2022-05-23 23:59:16,Workout Logged Manually,iOS,103,Not Applicable,Monday,23,False
APP-050267,MBR-017455,2025-01-10 19:21:23,Streak Viewed,Android,31,Not Applicable,Friday,19,False
APP-048022,MBR-015307,2024-01-10 07:11:03,App Opened–No Action,Android,5,Not Applicable,Wednesday,7,False
APP-025103,MBR-011406,2025-06-17 13:59:03,Workout Logged Manually,Android,22,Not Applicable,Tuesday,13,False
APP-058846,MBR-001216,2023-01-29 17:56:59,App Opened–No Action,Android,8,Not Applicable,Sunday,17,False
APP-008693,MBR-007175,2023-01-04 01:49:51,Diet Log Entry,Android,52,Not Applicable,Wednesday,1,False
APP-012543,MBR-002963,2025-09-11 07:27:57,App Opened–No Action,Android,19,Not Applicable,Thursday,7,False
APP-053281,MBR-003582,2024-12-31 11:47:02,Diet Log Entry,iOS,191,Not Applicable,Tuesday,11,True
APP-054173,MBR-003913,2022-12-11 07:27:38,Diet Log Entry,Android,78,Not Applicable,Sunday,7,False
APP-023677,MBR-014126,2023-12-14 00:16:24,Reminder Snoozed,iOS,10,Opened,Thursday,0,False
APP-028547,MBR-015540,2024-01-31 08:20:59,Workout Logged Manually,Android,69,Not Applicable,Wednesday,8,False
APP-027568,MBR-000574,2025-08-14 19:07:36,Diet Log Entry,Android,134,Not Applicable,Thursday,19,False
APP-051213,MBR-015142,2024-05-05 11:26:52,Diet Log Entry,iOS,48,Not Applicable,Sunday,11,False
APP-007018,MBR-013020,2025-01-02 19:22:33,Streak Viewed,Android,28,Not Applicable,Thursday,19,False
APP-040914,MBR-005523,2025-08-17 10:42:04,Badge Earned,Android,41,Not Applicable,Sunday,10,False
APP-018751,MBR-007409,2024-02-04 05:27:07,Reminder Snoozed,Android,7,Ignored,Sunday,5,False
APP-015539,MBR-014220,2024-01-30 08:35:00,Workout Logged Manually,Android,64,Not Applicable,Tuesday,8,False
APP-068664,MBR-006563,2022-12-11 06:32:08,Push Notification Opened,iOS,24,Opened,Sunday,6,False
APP-021583,MBR-010987,2025-07-09 12:26:49,Community/WhatsApp-style Group Post,Android,102,Not Applicable,Wednesday,12,False
APP-055409,MBR-017408,2023-12-21 07:15:08,Streak Viewed,Android,11,Not Applicable,Thursday,7,False
APP-013370,MBR-000017,2024-12-18 18:21:56,Streak Viewed,Android,18,Not Applicable,Wednesday,18,False
APP-066272,MBR-010164,2024-05-11 09:51:58,Workout Logged Manually,Android,52,Not Applicable,Saturday,9,False
APP-063942,MBR-012288,2025-04-20 06:20:47,Workout Logged Manually,Android,47,Not Applicable,Sunday,6,False
APP-001493,MBR-011251,2025-01-09 13:23:42,Streak Viewed,Android,32,Not Applicable,Thursday,13,False
APP-059674,MBR-000980,2024-08-09 01:54:53,App Opened–No Action,Android,5,Not Applicable,Friday,1,False
APP-014933,MBR-011689,2024-09-21 10:05:48,Streak Viewed,Android,28,Not Applicable,Saturday,10,False
APP-002687,MBR-003597,2022-01-13 11:01:11,Workout Logged Manually,Android,36,Not Applicable,Thursday,11,False
APP-025417,MBR-002768,2024-01-09 07:46:33,Workout Logged Manually,iOS,70,Ignored,Tuesday,7,False
APP-016641,MBR-000596,2025-05-29 07:39:28,Diet Log Entry,Android,42,Not Applicable,Thursday,7,False
APP-055944,MBR-006211,2025-01-30 05:41:46,Diet Log Entry,iOS,271,Not Applicable,Thursday,5,True
APP-078873,MBR-005135,2022-10-02 05:07:49,Workout Logged Manually,Android,34,Not Applicable,Sunday,5,False
APP-045284,MBR-012701,2025-01-04 17:42:29,App Opened–No Action,Android,9,Not Applicable,Saturday,17,False
APP-039483,MBR-013235,2025-08-03 11:53:12,App Opened–No Action,Android,7,Not Applicable,Sunday,11,False
APP-055464,MBR-011731,2024-05-15 18:40:40,Badge Earned,Android,96,Not Applicable,Wednesday,18,False
APP-029716,MBR-014839,2023-08-20 07:17:25,App Opened–No Action,iOS,4,Not Applicable,Sunday,7,False
APP-038848,MBR-012813,2025-08-18 06:03:38,Community/WhatsApp-style Group Post,Android,32,Not Applicable,Monday,6,False
APP-070461,MBR-004782,2025-10-02 18:23:16,App Opened–No Action,Android,8,Not Applicable,Thursday,18,False
APP-057534,MBR-012461,2021-05-04 18:50:26,Push Notification Opened,Android,5,Ignored,Tuesday,18,False
APP-089315,MBR-003483,2023-12-17 07:42:56,Diet Log Entry,iOS,36,Not Applicable,Sunday,7,False
APP-089706,MBR-013105,2024-01-29 22:38:43,Streak Viewed,Android,36,Not Applicable,Monday,22,False
APP-028218,MBR-013003,2024-10-26 14:21:26,App Opened–No Action,iOS,7,Not Applicable,Saturday,14,False
APP-095071,MBR-011730,2025-07-07 19:44:59,Push Notification Opened,Android,7,Opened,Monday,19,False
APP-082471,MBR-014979,2024-01-05 19:42:03,Community/WhatsApp-style Group Post,iOS,98,Not Applicable,Friday,19,False
APP-049841,MBR-001922,2024-01-14 06:32:06,Push Notification Opened,Android,9,Opened,Sunday,6,False
APP-032649,MBR-008523,2025-05-06 20:55:41,Badge Earned,Android,13,Not Applicable,Tuesday,20,False
APP-072677,MBR-007076,2024-08-13 09:09:35,Streak Viewed,Android,38,Not Applicable,Tuesday,9,False
APP-011087,MBR-008250,2024-02-06 17:28:53,Workout Logged Manually,Android,52,Not Applicable,Tuesday,17,False
APP-021562,MBR-003646,2023-07-24 05:37:44,Push Notification Opened,Android,27,Opened,Monday,5,False
APP-039930,MBR-005643,2023-10-15 07:30:26,App Opened–No Action,Android,20,Not Applicable,Sunday,7,False
APP-056072,MBR-001404,2024-04-14 06:49:06,Streak Viewed,iOS,47,Not Applicable,Sunday,6,False
APP-070061,MBR-010564,2025-06-11 04:28:59,Push Notification Opened,Android,25,Opened,Wednesday,4,False
APP-048779,MBR-014245,2024-05-11 08:03:57,App Opened–No Action,Android,8,Not Applicable,Saturday,8,False
APP-037516,MBR-002122,2023-02-07 23:45:05,Badge Earned,Android,49,Not Applicable,Tuesday,23,False
APP-094674,MBR-007664,2024-02-03 20:19:57,App Opened–No Action,Android,5,Ignored,Saturday,20,False
APP-023126,MBR-013474,2024-08-06 10:31:05,Streak Viewed,Android,27,Not Applicable,Tuesday,10,False
APP-070412,MBR-016414,2025-05-23 15:56:17,App Opened–No Action,Android,4,Not Applicable,Friday,15,False
APP-006192,MBR-008886,2024-05-05 07:27:34,Workout Logged Manually,Android,83,Not Applicable,Sunday,7,False
APP-039703,MBR-013767,2024-05-19 10:19:00,Streak Viewed,Android,48,Opened,Sunday,10,False
APP-067094,MBR-002981,2023-12-30 08:19:22,Streak Viewed,Android,12,Not Applicable,Saturday,8,False
APP-082579,MBR-006889,2022-07-08 15:37:56,Streak Viewed,iOS,10,Not Applicable,Friday,15,False
APP-094263,MBR-004970,2024-05-06 10:24:54,App Opened–No Action,Android,13,Not Applicable,Monday,10,False
APP-005620,MBR-010469,2023-03-23 20:06:37,Streak Viewed,Android,28,Not Applicable,Thursday,20,False
APP-031043,MBR-011667,2023-09-01 21:24:31,App Opened–No Action,iOS,9,Not Applicable,Friday,21,False
APP-013535,MBR-014652,2023-05-15 01:52:56,Community/WhatsApp-style Group Post,Android,52,Not Applicable,Monday,1,False
APP-013927,MBR-010233,2025-06-27 20:28:31,Streak Viewed,Android,27,Not Applicable,Friday,20,False
APP-047979,MBR-015447,2023-03-05 00:47:51,Workout Logged Manually,Android,52,Not Applicable,Sunday,0,False
APP-061551,MBR-010316,2024-10-19 05:30:56,Workout Logged Manually,Android,368,Not Applicable,Saturday,5,True
APP-046013,MBR-009125,2024-01-31 20:23:49,Referral Sent,Android,29,Not Applicable,Wednesday,20,False
APP-014877,MBR-006864,2024-01-14 20:50:28,App Opened–No Action,Android,7,Not Applicable,Sunday,20,False
APP-077719,MBR-014756,2024-11-07 09:03:20,Diet Log Entry,Android,141,Not Applicable,Thursday,9,False
APP-087438,MBR-014566,2024-11-09 15:06:42,Workout Logged Manually,iOS,112,Not Applicable,Saturday,15,False
APP-054789,MBR-005506,2025-09-05 06:56:28,Diet Log Entry,Android,85,Not Applicable,Friday,6,False
APP-024899,MBR-005200,2024-08-06 18:04:17,Badge Earned,Android,28,Not Applicable,Tuesday,18,False
APP-097509,MBR-013761,2022-05-07 17:27:36,App Opened–No Action,Android,7,Not Applicable,Saturday,17,False
APP-002032,MBR-012792,2023-02-11 05:31:37,App Opened–No Action,iOS,12,Not Applicable,Saturday,5,False
APP-053769,MBR-009865,2025-03-21 05:45:06,Streak Viewed,Android,51,Not Applicable,Friday,5,False
APP-086527,MBR-017315,2021-06-19 05:03:18,Streak Viewed,iOS,10,Not Applicable,Saturday,5,False
APP-096867,MBR-002625,2025-05-30 00:00:00,Streak Viewed,Android,25,Not Applicable,Friday,0,False
APP-081280,MBR-006320,2024-05-23 12:56:28,Workout Logged Manually,iOS,199,Not Applicable,Thursday,12,True
APP-031325,MBR-008372,2025-03-22 00:09:56,App Opened–No Action,Android,10,Dismissed,Saturday,0,False
APP-062022,MBR-012118,2022-07-18 18:15:22,Push Notification Opened,iOS,15,Opened,Monday,18,False
APP-096211,MBR-001942,2022-02-24 05:13:50,Workout Logged Manually,Android,75,Not Applicable,Thursday,5,False
APP-074257,MBR-008409,2023-10-11 19:15:13,Workout Logged Manually,Android,64,Not Applicable,Wednesday,19,False
APP-057213,MBR-003071,2025-06-15 17:26:15,Reminder Snoozed,Android,4,Ignored,Sunday,17,False
APP-046939,MBR-008745,2025-05-13 18:22:51,Push Notification Opened,Android,5,Opened,Tuesday,18,False
APP-047061,MBR-000802,2023-11-24 05:03:46,Community/WhatsApp-style Group Post,Android,97,Not Applicable,Friday,5,False
APP-009901,MBR-009679,2024-01-02 01:35:52,Reminder Snoozed,Android,3,Ignored,Tuesday,1,False
APP-080857,MBR-009752,2025-08-07 12:09:20,Workout Logged Manually,iOS,86,Not Applicable,Thursday,12,False
APP-031613,MBR-009990,2023-10-09 17:18:33,Workout Logged Manually,Android,210,Not Applicable,Monday,17,True
APP-090968,MBR-009265,2023-03-21 07:36:12,Reminder Snoozed,Android,7,Opened,Tuesday,7,False
APP-006159,MBR-000393,2024-03-21 06:08:12,Reminder Snoozed,Android,5,Dismissed,Thursday,6,False
APP-024197,MBR-005872,2024-12-28 18:24:29,Workout Logged Manually,Android,58,Not Applicable,Saturday,18,False
APP-097195,MBR-006123,2025-02-10 20:31:31,App Opened–No Action,iOS,13,Not Applicable,Monday,20,False
APP-008064,MBR-003284,2025-01-07 05:09:05,Community/WhatsApp-style Group Post,Android,99,Not Applicable,Tuesday,5,False
APP-084766,MBR-008465,2022-09-28 14:55:16,Diet Log Entry,iOS,47,Not Applicable,Wednesday,14,False
APP-021566,MBR-003646,2023-02-11 19:13:21,Streak Viewed,Android,78,Ignored,Saturday,19,False
APP-079992,MBR-017306,2023-06-29 08:06:29,Workout Logged Manually,Android,37,Not Applicable,Thursday,8,False
APP-094452,MBR-013252,2025-09-06 07:31:16,Push Notification Opened,Android,8,Ignored,Saturday,7,False
APP-036878,MBR-003931,2023-09-16 11:17:05,Badge Earned,iOS,9,Not Applicable,Saturday,11,False
APP-068144,MBR-017304,2023-11-03 13:24:22,Workout Logged Manually,iOS,91,Not Applicable,Friday,13,False
APP-009649,MBR-007825,2021-11-20 05:21:21,Streak Viewed,Android,22,Not Applicable,Saturday,5,False
APP-007600,MBR-016780,2024-09-01 22:29:02,Diet Log Entry,Android,59,Not Applicable,Sunday,22,False
APP-008332,MBR-013392,2025-05-23 22:28:19,Push Notification Opened,Android,32,Ignored,Friday,22,False
APP-021253,MBR-008732,2025-01-20 00:09:09,Push Notification Opened,Android,7,Dismissed,Monday,0,False
APP-009784,MBR-005921,2022-12-19 20:24:41,Workout Logged Manually,Android,214,Not Applicable,Monday,20,True
APP-085376,MBR-006057,2024-04-04 06:32:42,Push Notification Opened,Android,30,Dismissed,Thursday,6,False
APP-068121,MBR-001559,2024-01-21 09:24:29,Push Notification Opened,iOS,8,Ignored,Sunday,9,False
APP-046067,MBR-013892,2024-06-05 00:06:35,Push Notification Opened,Android,4,Opened,Wednesday,0,False
APP-066559,MBR-001821,2024-05-10 17:08:15,Badge Earned,iOS,32,Not Applicable,Friday,17,False
APP-080559,MBR-002661,2023-01-31 08:00:51,Push Notification Opened,Android,7,Ignored,Tuesday,8,False
APP-006401,MBR-008401,2024-09-05 20:11:40,App Opened–No Action,Android,14,Not Applicable,Thursday,20,False
APP-033575,MBR-002479,2023-10-04 06:27:06,Streak Viewed,Android,12,Not Applicable,Wednesday,6,False
APP-003130,MBR-008438,2025-04-21 20:38:07,Reminder Snoozed,Android,3,Not Applicable,Monday,20,False
APP-065251,MBR-002473,2025-06-11 05:37:05,Diet Log Entry,Android,81,Not Applicable,Wednesday,5,False
APP-090444,MBR-004672,2025-07-28 13:53:32,Workout Logged Manually,Android,326,Not Applicable,Monday,13,True
APP-050719,MBR-003144,2025-10-05 06:30:07,Workout Logged Manually,Android,54,Not Applicable,Sunday,6,False
APP-066657,MBR-011705,2024-02-14 07:11:16,Referral Sent,Android,70,Not Applicable,Wednesday,7,False
APP-002873,MBR-005674,2023-03-04 05:16:29,Streak Viewed,Android,14,Not Applicable,Saturday,5,False
APP-042325,MBR-009268,2022-11-28 13:09:29,Streak Viewed,Android,24,Not Applicable,Monday,13,False
APP-009143,MBR-008296,2024-01-08 09:27:44,Badge Earned,Android,14,Not Applicable,Monday,9,False
APP-052789,MBR-002080,2022-12-02 21:25:44,Reminder Snoozed,Android,7,Dismissed,Friday,21,False
APP-072023,MBR-002904,2025-01-31 08:03:01,Community/WhatsApp-style Group Post,Android,106,Not Applicable,Friday,8,False
APP-063257,MBR-013712,2023-10-19 18:21:51,Community/WhatsApp-style Group Post,Android,155,Not Applicable,Thursday,18,False
APP-031825,MBR-003548,2025-01-22 20:24:48,App Opened–No Action,Android,24,Not Applicable,Wednesday,20,False
APP-019075,MBR-005649,2025-06-19 21:32:52,Push Notification Opened,iOS,13,Dismissed,Thursday,21,False
APP-077652,MBR-006455,2024-02-02 20:56:00,Streak Viewed,iOS,29,Not Applicable,Friday,20,False
APP-068868,MBR-002078,2023-11-04 06:19:06,Badge Earned,Android,19,Not Applicable,Saturday,6,False
APP-059241,MBR-001327,2025-09-22 13:01:27,Streak Viewed,iOS,39,Not Applicable,Monday,13,False
APP-076406,MBR-003972,2024-12-26 10:58:09,Reminder Snoozed,Android,12,Opened,Thursday,10,False
